observation_mode,observation_noise,n_sensors,model,active_mae_mean,active_mae_std,test_mae_mean,active_fraction_mean,events_mean,first_index_mean,n
activation_samples,0.0001,4,snnplus,0.0023895107167633332,7.295658763765306e-06,0.0023895107167633332,1.0,4.0,0.0,3
activation_samples,0.0001,8,convmultiplus,0.0006940459410313334,2.092428410246679e-05,0.0006940459410313334,1.0,8.0,0.0,3
activation_samples,0.0001,8,fnobase,0.0013544924427433332,0.0009259418081399679,0.0013544924427433332,1.0,8.0,0.0,3
activation_samples,0.0001,8,snn,0.0024151301817566667,9.379358810633458e-06,0.0024151301817566667,1.0,8.0,0.0,3
activation_samples,0.0001,8,snnplus,0.0024037424765699996,5.848728824045881e-07,0.0024037424765699996,1.0,8.0,0.0,3
activation_samples,0.0001,12,convmultiplus,0.000665005086117,2.4703454321365458e-05,0.000665005086117,1.0,12.0,0.0,3
activation_samples,0.0001,12,fnobase,0.0018549387413063334,0.0010366885031508248,0.0018549387413063334,1.0,12.0,0.0,3
activation_samples,0.0001,12,snn,0.0024121961166333333,5.331083498790499e-06,0.0024121961166333333,1.0,12.0,0.0,3
activation_samples,0.0001,12,snnplus,0.0023980214653,1.1119364723424798e-05,0.0023980214653,1.0,12.0,0.0,3
activation_samples,0.001,0,convmultiplus,0.0009953209165873332,0.00039406875584645576,0.0009953209165873332,1.0,200.0,0.0,3
activation_samples,0.001,0,fnobase,0.0018263893338969998,0.0010452524291373478,0.0018263893338969998,1.0,200.0,0.0,3
activation_samples,0.001,0,snn,0.0030126521638300006,1.2825355123327322e-06,0.0030126521638300006,1.0,200.0,0.0,3
activation_samples,0.001,0,snnplus,0.0024739425006666664,3.340518121098858e-05,0.0024739425006666664,1.0,200.0,0.0,3
activation_samples,0.001,4,convmultiplus,0.0007966220873283333,3.1574253436714e-05,0.0007966220873283333,1.0,4.0,0.0,3
activation_samples,0.001,4,fnobase,0.0014576435054836669,0.0011634113375446728,0.0014576435054836669,1.0,4.0,0.0,3
activation_samples,0.001,4,snn,0.0024955840395266666,1.2579569131365517e-05,0.0024955840395266666,1.0,4.0,0.0,3
activation_samples,0.001,4,snnplus,0.00248834930316,1.6237035745324073e-05,0.00248834930316,1.0,4.0,0.0,3
activation_samples,0.001,8,convmultiplus,0.0007846026795796666,6.820619047679452e-05,0.0007846026795796666,1.0,8.0,0.0,3
activation_samples,0.001,8,fnobase,0.001438314346397,0.0009361404977415741,0.001438314346397,1.0,8.0,0.0,3
activation_samples,0.001,8,snn,0.0025248967437966666,2.9664877462285146e-05,0.0025248967437966666,1.0,8.0,0.0,3
activation_samples,0.001,8,snnplus,0.00252417637851,3.289656634970574e-05,0.00252417637851,1.0,8.0,0.0,3
activation_samples,0.001,12,convmultiplus,0.000725339173982,5.218897628554512e-05,0.000725339173982,1.0,12.0,0.0,3
activation_samples,0.001,12,fnobase,0.00183428706393,0.0008633069159743959,0.00183428706393,1.0,12.0,0.0,3
activation_samples,0.001,12,snn,0.002502838531233333,1.4029689986623435e-05,0.002502838531233333,1.0,12.0,0.0,3
activation_samples,0.001,12,snnplus,0.002503085567816667,2.250208208517234e-05,0.002503085567816667,1.0,12.0,0.0,3
event_traces,0.0,0,convmultiplus,0.0006084273910469999,3.10181695421637e-05,0.0006084273910469999,0.0078125,200.0,46.076923076899995,3
event_traces,0.0,0,fnobase,0.0007440880171556666,8.09443843622272e-05,0.0007440880171556666,0.0078125,200.0,46.076923076899995,3
event_traces,0.0,0,snn,0.000838410541712,9.053414984677729e-05,0.000838410541712,0.0078125,200.0,46.076923076899995,3
